entity_name,year,gdp_per_capita,origin
Lower-middle-income countries,2022,7138,wb
Lower-middle-income countries,2021,6865,wb
Luxembourg,2022,117747,wb
Luxembourg,2021,118510,wb
Luxembourg,2020,112275,wb
Luxembourg,2019,115210,wb
Luxembourg,2017,114986,wb
Luxembourg,2018,114164,wb
Macao,2018,128220,wb
Macao,2017,122838,wb
Macao,2022,51840,wb
Macao,2020,54916,wb
Macao,2019,122550,wb
Macao,2021,66821,wb
Madagascar,2017,1548,wb
Madagascar,2018,1557,wb
Madagascar,2019,1585,wb
Madagascar,2020,1436,wb
Madagascar,2021,1482,wb
Madagascar,2022,1502,wb
Malawi,2022,1467,wb
Malawi,2021,1491,wb
Malawi,2020,1490,wb
Malawi,2019,1518,wb
Malawi,2018,1478,wb
Malawi,2017,1455,wb
Malaysia,2017,25935,wb
Malaysia,2018,26836,wb
Malaysia,2019,27674,wb
Malaysia,2020,25852,wb
Malaysia,2021,26407,wb
Malaysia,2022,28384,wb
Maldives,2022,21271,wb
Maldives,2021,18758,wb
Maldives,2020,13809,wb
Maldives,2018,20150,wb
Maldives,2017,19222,wb
Maldives,2019,20988,wb
Mali,2022,2133,wb
Mali,2021,2121,wb
Mali,2019,2219,wb
Mali,2018,2186,wb
Mali,2020,2124,wb
Mali,2017,2154,wb
Malta,2020,41754,wb
Malta,2018,45116,wb
Malta,2019,46439,wb
Malta,2021,46599,wb
Malta,2022,48642,wb
Malta,2017,43494,wb
Marshall Islands,2022,6004,wb
Marshall Islands,2021,5976,wb
Marshall Islands,2020,5725,wb
Marshall Islands,2019,5719,wb
Marshall Islands,2018,5040,wb
Marshall Islands,2017,4649,wb
Mauritania,2017,5259,wb
Mauritania,2018,5367,wb
Mauritania,2019,5393,wb
Mauritania,2020,5236,wb
Mauritania,2021,5142,wb
Mauritania,2022,5330,wb
Mauritius,2019,23676,wb
Mauritius,2018,23019,wb
Mauritius,2020,20232,wb
Mauritius,2021,20915,wb
Mauritius,2022,22841,wb
Mauritius,2017,22144,wb
Mexico,2022,20255,wb
Mexico,2021,19618,wb
Mexico,2020,18640,wb
Mexico,2019,20554,wb
Mexico,2018,20789,wb
Mexico,2017,20582,wb
Micronesia (country),2018,3514,wb
Micronesia (country),2020,3421,wb
Micronesia (country),2019,3541,wb
Micronesia (country),2017,3522,wb
Micronesia (country),2021,3321,wb
Micronesia (country),2022,3264,wb
Middle East and North Africa (WB),2018,16446,wb
Middle East and North Africa (WB),2017,16392,wb
Middle East and North Africa (WB),2022,16773,wb
Middle East and North Africa (WB),2019,16332,wb
Middle East and North Africa (WB),2021,16067,wb
Middle East and North Africa (WB),2020,15583,wb
Middle-income countries,2018,11232,wb
Middle-income countries,2017,10833,wb
Middle-income countries,2020,11223,wb
Middle-income countries,2022,12265,wb
Middle-income countries,2019,11539,wb
Middle-income countries,2021,11908,wb
Moldova,2022,13308,wb
Moldova,2021,13704,wb
Moldova,2020,11849,wb
Moldova,2019,12777,wb
Moldova,2018,12143,wb
Moldova,2017,11464,wb
Monaco,2022,224670,other-estimated
Mongolia,2017,11431,wb
Mongolia,2018,12052,wb
Mongolia,2019,12458,wb
Mongolia,2020,11667,wb
Mongolia,2021,11668,wb
Mongolia,2022,12073,wb
Montenegro,2019,21534,wb
Montenegro,2020,18259,wb
Montenegro,2018,20687,wb
Montenegro,2017,19682,wb
Montenegro,2021,20711,wb
Montenegro,2022,22109,wb
Montserrat,2019,15573,pw
Montserrat,2018,14780,pw
Montserrat,2017,14537,pw
Morocco,2017,7922,wb
Morocco,2019,8218,wb
Morocco,2018,8072,wb
Morocco,2020,7547,wb
Morocco,2022,8083,wb
Morocco,2021,8066,wb
Mozambique,2018,1298,wb
Mozambique,2022,1251,wb
Mozambique,2021,1232,wb
Mozambique,2020,1238,wb
Mozambique,2019,1290,wb
Mozambique,2017,1292,wb
Myanmar,2017,4670,wb
Myanmar,2019,5214,wb
Myanmar,2018,4927,wb
Myanmar,2022,4250,wb
Myanmar,2021,4114,wb
Myanmar,2020,4709,wb
Namibia,2018,10266,wb
Namibia,2022,9763,wb
Namibia,2021,9209,wb
Namibia,2020,9042,wb
Namibia,2019,10010,wb
Namibia,2017,10335,wb
Nauru,2022,11024,wb
Nauru,2021,10990,wb
Nauru,2020,10813,wb
Nauru,2019,10530,wb
Nauru,2018,9896,wb
Nauru,2017,9360,wb
Nepal,2018,3719,wb
Nepal,2019,3922,wb
Nepal,2020,3762,wb
Nepal,2021,3854,wb
Nepal,2022,4002,wb
Nepal,2017,3496,wb
Netherlands,2017,55089,wb
Netherlands,2022,59249,wb
Netherlands,2018,56061,wb
Netherlands,2019,56784,wb
Netherlands,2020,54275,wb
Netherlands,2021,57335,wb
New Zealand,2022,45185,wb
New Zealand,2017,42205,wb
New Zealand,2018,42917,wb
New Zealand,2019,43273,wb
New Zealand,2020,42052,wb
New Zealand,2021,44042,wb
Nicaragua,2022,5822,wb
Nicaragua,2021,5692,wb
Nicaragua,2020,5231,wb
Nicaragua,2019,5398,wb
Nicaragua,2018,5637,wb
Nicaragua,2017,5915,wb
Niger,2017,1156,wb
Niger,2019,1217,wb
Niger,2020,1215,wb
Niger,2021,1187,wb
Niger,2022,1275,wb
Niger,2018,1193,wb
Nigeria,2021,4923,wb
Nigeria,2020,4865,wb
Nigeria,2019,5076,wb
Nigeria,2018,5090,wb
Nigeria,2017,5120,wb
Nigeria,2022,4963,wb
North America (WB),2017,58741,wb
North America (WB),2018,60089,wb
North America (WB),2019,61108,wb
North America (WB),2020,58725,wb
North America (WB),2021,62061,wb
North America (WB),2022,63023,wb
North Korea,2022,2050,other-estimated
North Macedonia,2017,15707,wb
North Macedonia,2019,16773,wb
North Macedonia,2020,15780,wb
North Macedonia,2021,16709,wb
North Macedonia,2022,17129,wb
North Macedonia,2018,16146,wb
Norway,2022,67296,wb
Norway,2021,65916,wb
Norway,2020,63776,wb
Norway,2019,64983,wb
Norway,2018,64696,wb
Norway,2017,64590,wb
Oman,2019,33814,wb
Oman,2017,34218,wb
Oman,2018,34212,wb
Oman,2020,33098,wb
Oman,2021,34295,wb
Oman,2022,35337,wb
Pakistan,2022,5377,wb
Pakistan,2017,4892,wb
Pakistan,2018,5113,wb
Pakistan,2019,5158,wb
Pakistan,2020,5004,wb
Pakistan,2021,5233,wb
Palau,2020,16405,wb
Palau,2018,17816,wb
Palau,2017,17595,wb
Palau,2021,14113,wb
Palau,2019,17800,wb
Palestine,2020,5403,wb
Palestine,2017,6402,wb
Palestine,2018,6318,wb
Palestine,2019,6245,wb
Palestine,2021,5641,wb
Palestine,2022,5722,wb
Panama,2021,30417,wb
Panama,2022,33266,wb
Panama,2020,26606,wb
Panama,2019,32788,wb
Panama,2018,32259,wb
Panama,2017,31638,wb
Papua New Guinea,2021,3638,wb
Papua New Guinea,2017,3967,wb
Papua New Guinea,2018,3865,wb
Papua New Guinea,2019,3948,wb
Papua New Guinea,2020,3742,wb
Papua New Guinea,2022,3753,wb
Paraguay,2022,13531,wb
Paraguay,2021,13676,wb
Paraguay,2020,13317,wb
Paraguay,2019,13610,wb
Paraguay,2017,13604,wb
Paraguay,2018,13848,wb
Peru,2017,12443,wb
Peru,2018,12696,wb
Peru,2019,12735,wb
Peru,2020,11187,wb
Peru,2021,12534,wb
Peru,2022,12744,wb
Philippines,2018,8366,wb
Philippines,2017,8002,wb
Philippines,2019,8732,wb
Philippines,2020,7773,wb
Philippines,2021,8096,wb
Philippines,2022,8582,wb
Poland,2018,31739,wb
Poland,2017,29958,wb
Poland,2019,33160,wb
Poland,2020,32547,wb
Poland,2021,34944,wb
Poland,2022,37707,wb
Portugal,2018,34041,wb
Portugal,2022,35768,wb
Portugal,2021,33636,wb
Portugal,2020,32011,wb
Portugal,2019,34946,wb
Portugal,2017,33045,wb
Puerto Rico,2020,32438,wb
Puerto Rico,2022,34298,wb
Puerto Rico,2021,32767,wb
Puerto Rico,2018,34223,wb
Puerto Rico,2017,34364,wb
Puerto Rico,2019,34793,wb
Qatar,2022,96558,wb
Qatar,2021,92895,wb
Qatar,2020,89019,wb
Qatar,2019,90762,wb
Qatar,2018,91462,wb
Qatar,2017,92178,wb
Romania,2018,28736,wb
Romania,2017,26943,wb
